PlayerName,Edad,Goles,Asistencias,Tarjetas_Amarilla,Tarjetas_Roja,PasesCompletados,PasesIntentados,Pct_PasesCompletados,PasesUltTercioCampo,PasesClave,PasesCruzados,PasesCambioDeBanda,xG,npxG,xA,xG_90Min,xA_90Min
Héctor Bellerín,22,2,3,5,0,1758,2121,82.9,87,36,69,14,2.2,2.2,3.6,0.06,0.11
Joe Allen,27,2,6,8,0,1080,1365,79.1,106,32,22,18,2.4,2.4,2.6,0.07,0.07
Xherdan Shaqiri,25,8,7,5,0,893,1261,70.8,94,73,110,94,5.3,4.6,7,0.16,0.21
Erik Pieters,28,0,1,5,0,906,1284,70.6,95,16,45,27,0,0,1.3,0,0.04
Mame Biram Diouf,29,6,2,6,0,360,641,56.2,32,15,24,4,7.3,7.3,0.9,0.25,0.03
Pierre Lees-Melou,24,5,6,6,1,1306,1629,80.2,111,55,55,76,5.5,4.8,5.1,0.17,0.16
Jean Seri,26,2,4,5,0,2374,2667,89,180,65,48,88,3.1,3.1,4.2,0.11,0.14
Lukas Lerager,24,3,1,8,0,1247,1626,76.7,127,22,16,36,4.4,4.4,2.1,0.12,0.06
Malcom,20,12,7,2,0,1146,1531,74.9,84,86,88,68,7.4,5.7,8.8,0.23,0.28
François Kamano,21,8,4,4,0,542,684,79.2,15,32,47,17,8.4,7.4,4.9,0.37,0.22
Tomás Rincón,29,1,0,12,0,1256,1520,82.6,107,23,16,53,0.8,0.8,1.7,0.02,0.05
Lorenzo De Silvestri,29,5,2,3,2,1238,1726,71.7,90,17,64,25,3.2,3.2,2.1,0.1,0.06
Daniele Baselli,25,4,0,13,2,1091,1335,81.7,92,27,14,42,3.6,3.6,1.9,0.13,0.07
