Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG
63;Rodrigo Armando González;mx MEX;DF;Atlético;28-021;1995;13;12;1091;12.1;0;0;0;0;0;0;3;0;0.0;0.0;0.0;0.1;3;13;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01
64;Daniel Armando Ríos;mx MEX;FW;Guadalajara;28-070;1995;12;6;521;5.8;1;1;2;1;0;0;1;0;1.4;1.4;0.6;2.0;5;4;31;0.17;0.17;0.35;0.17;0.35;0.25;0.10;0.35;0.25;0.35
65;Eduardo Armenta;mx MEX;MF;Tijuana;21-138;2001;10;7;475;5.3;0;0;0;0;0;0;1;0;0.1;0.1;0.2;0.3;3;15;15;0.00;0.00;0.00;0.00;0.00;0.03;0.04;0.06;0.03;0.06
66;Alejandro Arribas;es ESP;DF;FC Juárez;34-002;1989;26;23;2068;23.0;0;0;0;0;0;0;3;1;0.8;0.8;0.5;1.3;8;45;3;0.00;0.00;0.00;0.00;0.00;0.04;0.02;0.06;0.04;0.06
67;José Ávila;mx MEX;MFDF;Santos;25-002;1998;6;0;74;0.8;0;1;1;0;0;0;0;0;0.0;0.0;0.2;0.2;1;6;7;0.00;1.22;1.22;0.00;1.22;0.03;0.23;0.26;0.03;0.26
68;David Ayala;mx MEX;MF;UANL;22-333;2000;3;0;16;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.12;0.00;0.12;0.12;0.12
69;Hugo Ayala;mx MEX;DFFW;UANL;36-033;1987;4;2;166;1.8;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;8;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
70;Ettson Ayon;mx MEX;FWMF;Querétaro;22-038;2001;20;7;708;7.9;4;0;4;4;0;0;2;0;2.8;2.8;0.4;3.2;8;6;43;0.51;0.00;0.51;0.51;0.51;0.36;0.06;0.42;0.36;0.42
71;Rafael Baca;mx MEX;MF;Cruz Azul;33-234;1989;21;9;1018;11.3;1;1;2;1;0;0;3;1;0.3;0.3;0.3;0.6;3;52;9;0.09;0.09;0.18;0.09;0.18;0.02;0.03;0.05;0.02;0.05
72;Claudio Baeza;cl CHI;MF;Toluca;29-131;1993;29;28;2223;24.7;0;2;2;0;0;0;9;1;0.1;0.1;0.3;0.4;14;115;14;0.00;0.08;0.08;0.00;0.08;0.01;0.01;0.02;0.01;0.02
73;Kevin Balanta;co COL;DF;Querétaro;26-005;1997;24;23;2007;22.3;0;0;0;0;0;0;5;1;0.2;0.2;0.4;0.6;11;68;2;0.00;0.00;0.00;0.00;0.00;0.01;0.02;0.03;0.01;0.03
74;Carlos Baltazar;mx MEX;MF;Puebla;26-068;1997;1;0;10;0.1;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;2;1;2;0.00;0.00;0.00;0.00;0.00;1.01;0.00;1.01;1.01;1.01
75;Miguel Barbieri;ar ARG;DF;Querétaro;29-252;1993;15;12;1106;12.3;2;0;2;2;0;0;5;0;1.2;1.2;0.0;1.2;2;28;3;0.16;0.00;0.16;0.16;0.16;0.10;0.00;0.10;0.10;0.10
76;David Barbona;ar ARG;MFFW;Querétaro;28-070;1995;10;8;569;6.3;0;0;0;0;0;0;2;0;0.8;0.8;1.1;1.9;21;37;34;0.00;0.00;0.00;0.00;0.00;0.13;0.18;0.31;0.13;0.31
77;Diego Barbosa;mx MEX;DF;Atlas;26-220;1996;25;10;1116;12.4;0;0;0;0;0;0;3;0;0.8;0.8;0.8;1.6;38;32;88;0.00;0.00;0.00;0.00;0.00;0.06;0.06;0.13;0.06;0.13
78;Marcelo Barovero;ar ARG;GK;Atlético;39-074;1984;33;33;2937;32.6;0;0;0;0;0;0;3;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
79;Martín Barra;mx MEX;MFFW;FC Juárez;21-118;2002;3;0;50;0.6;0;1;1;0;0;0;0;0;0.0;0.0;0.1;0.1;1;1;3;0.00;1.80;1.80;0.00;1.80;0.00;0.21;0.21;0.00;0.21
80;Martín Barragán;mx MEX;FW;Puebla;31-293;1991;33;27;2331;25.9;11;1;12;8;3;3;5;0;9.4;7.0;1.9;8.9;22;55;116;0.42;0.04;0.46;0.31;0.35;0.36;0.07;0.44;0.27;0.34
81;Jaine Barreiro;co COL;DF;León;28-318;1994;30;29;2478;27.5;0;2;2;0;0;0;9;1;1.4;1.4;0.7;2.1;36;101;17;0.00;0.07;0.07;0.00;0.07;0.05;0.03;0.08;0.05;0.08
82;Pablo Barrera;mx MEX;MFFW;Querétaro;35-316;1987;34;33;2875;31.9;3;6;9;2;1;2;6;0;3.1;1.5;7.3;8.8;89;120;202;0.09;0.19;0.28;0.06;0.25;0.10;0.23;0.32;0.05;0.27
83;Abraham Bass;mx MEX;MF;Atlas;21-267;2001;1;1;75;0.8;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;0;0;0.00;0.00;0.00;0.00;0.00;0.08;0.00;0.08;0.08;0.08
84;Damián Batallini;ar ARG;MFFW;Necaxa;26-313;1996;13;8;748;8.3;1;0;1;1;0;0;2;0;1.0;1.0;0.8;1.9;21;25;49;0.12;0.00;0.12;0.12;0.12;0.12;0.10;0.22;0.12;0.22
85;Facundo Batista;uy URU;FW;Necaxa;24-107;1999;28;21;1777;19.7;9;0;9;7;2;2;2;0;7.3;5.8;1.4;7.2;20;29;100;0.46;0.00;0.46;0.35;0.35;0.37;0.07;0.44;0.29;0.36
86;Eduard Bello;ve VEN;FWMF;Mazatlán;27-256;1995;24;13;1214;13.5;4;1;5;4;0;0;4;0;1.9;1.9;0.9;2.9;22;37;90;0.30;0.07;0.37;0.30;0.37;0.14;0.07;0.21;0.14;0.21
87;Paul Bellón;mx MEX;DF;León;25-333;1997;27;19;1815;20.2;2;0;2;2;0;0;8;2;1.6;1.6;1.1;2.6;18;52;6;0.10;0.00;0.10;0.10;0.10;0.08;0.05;0.13;0.08;0.13
88;Fernando Beltrán;mx MEX;MF;Guadalajara;24-360;1998;31;29;2436;27.1;3;4;7;3;0;0;6;1;1.7;1.7;1.7;3.4;75;172;101;0.11;0.15;0.26;0.11;0.26;0.06;0.06;0.13;0.06;0.13
89;Nicolás Benedetti;co COL;MFFW;Mazatlán;26-008;1997;29;26;2104;23.4;7;5;12;7;0;1;3;1;5.3;4.6;4.4;9.0;99;101;167;0.30;0.21;0.51;0.30;0.51;0.23;0.19;0.42;0.19;0.38
90;Pablo Bennevendo Peña;mx MEX;DF;UNAM;23-120;2000;28;22;2068;23.0;0;1;1;0;0;0;2;0;0.1;0.1;1.3;1.4;27;72;46;0.00;0.04;0.04;0.00;0.04;0.00;0.06;0.06;0.00;0.06
91;Germán Berterame;ar ARG;FWMF;Monterrey;24-171;1998;31;26;2343;26.0;10;5;15;10;0;1;2;0;10.2;9.4;5.4;14.8;46;68;167;0.38;0.19;0.58;0.38;0.58;0.39;0.21;0.60;0.36;0.57
92;Unai Bilbao;es ESP;DF;Atlético;29-088;1994;15;15;1299;14.4;2;0;2;2;0;0;3;0;1.2;1.2;0.2;1.3;2;32;0;0.14;0.00;0.14;0.14;0.14;0.08;0.01;0.09;0.08;0.09
93;Léo Bonatini;br BRA;FW;Atlético;29-036;1994;17;12;909;10.1;3;2;5;3;0;1;1;0;4.0;3.2;0.5;3.7;13;18;54;0.30;0.20;0.50;0.30;0.50;0.40;0.05;0.45;0.32;0.37
94;Antonio Briseño;mx MEX;DF;Guadalajara;29-087;1994;10;3;373;4.1;0;0;0;0;0;0;4;1;0.1;0.1;0.0;0.1;2;16;2;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.03;0.02;0.03
95;Isaác Brizuela;mx MEX;FWMF;Guadalajara;32-248;1990;20;9;812;9.0;1;1;2;1;0;0;1;0;0.3;0.3;1.6;1.9;33;37;70;0.11;0.11;0.22;0.11;0.22;0.04;0.17;0.21;0.04;0.21
96;Juan Brunetta;ar ARG;MFFW;Santos;25-356;1997;32;31;2528;28.1;9;7;16;8;1;1;5;0;10.1;9.3;5.7;15.0;117;208;157;0.32;0.25;0.57;0.28;0.53;0.36;0.20;0.56;0.33;0.53
